YEAR;MO;DY;HR;WS50M;DATE
2024;1;1;0;3.44;01/01/2024
2024;1;1;1;3.0;01/01/2024
2024;1;1;2;2.5;01/01/2024
2024;1;1;3;1.92;01/01/2024
2024;1;1;4;1.25;01/01/2024
2024;1;1;5;0.71;01/01/2024
2024;1;1;6;0.66;01/01/2024
2024;1;1;7;0.18;01/01/2024
2024;1;1;8;0.41;01/01/2024
2024;1;1;9;1.3;01/01/2024
2024;1;1;10;2.35;01/01/2024
2024;1;1;11;3.26;01/01/2024
2024;1;1;12;3.83;01/01/2024
2024;1;1;13;3.81;01/01/2024
2024;1;1;14;3.53;01/01/2024
2024;1;1;15;3.56;01/01/2024
2024;1;1;16;3.8;01/01/2024
2024;1;1;17;3.8;01/01/2024
2024;1;1;18;3.65;01/01/2024
2024;1;1;19;3.26;01/01/2024
2024;1;1;20;2.84;01/01/2024
2024;1;1;21;2.66;01/01/2024
2024;1;1;22;2.73;01/01/2024
2024;1;1;23;3.22;01/01/2024
2024;1;2;0;3.93;02/01/2024
2024;1;2;1;4.38;02/01/2024
2024;1;2;2;4.41;02/01/2024
2024;1;2;3;4.21;02/01/2024
2024;1;2;4;3.97;02/01/2024
2024;1;2;5;3.42;02/01/2024
2024;1;2;6;2.54;02/01/2024
2024;1;2;7;1.27;02/01/2024
2024;1;2;8;0.93;02/01/2024
2024;1;2;9;1.45;02/01/2024
2024;1;2;10;1.35;02/01/2024
2024;1;2;11;0.91;02/01/2024
2024;1;2;12;2.02;02/01/2024
2024;1;2;13;3.49;02/01/2024
2024;1;2;14;4.4;02/01/2024
2024;1;2;15;4.6;02/01/2024
2024;1;2;16;4.37;02/01/2024
2024;1;2;17;4.0;02/01/2024
2024;1;2;18;3.72;02/01/2024
2024;1;2;19;3.48;02/01/2024
2024;1;2;20;3.33;02/01/2024
2024;1;2;21;3.29;02/01/2024
2024;1;2;22;3.34;02/01/2024
2024;1;2;23;3.34;02/01/2024
2024;1;3;0;3.22;03/01/2024
2024;1;3;1;2.91;03/01/2024
2024;1;3;2;2.51;03/01/2024
2024;1;3;3;1.99;03/01/2024
2024;1;3;4;1.54;03/01/2024
2024;1;3;5;1.12;03/01/2024
2024;1;3;6;0.8;03/01/2024
2024;1;3;7;0.64;03/01/2024
2024;1;3;8;0.46;03/01/2024
2024;1;3;9;0.56;03/01/2024
2024;1;3;10;0.69;03/01/2024
2024;1;3;11;0.84;03/01/2024
2024;1;3;12;1.05;03/01/2024
2024;1;3;13;1.13;03/01/2024
2024;1;3;14;1.08;03/01/2024
2024;1;3;15;0.92;03/01/2024
2024;1;3;16;0.91;03/01/2024
2024;1;3;17;1.08;03/01/2024
2024;1;3;18;1.35;03/01/2024
2024;1;3;19;1.37;03/01/2024
2024;1;3;20;1.21;03/01/2024
2024;1;3;21;1.01;03/01/2024
2024;1;3;22;0.75;03/01/2024
2024;1;3;23;0.49;03/01/2024
2024;1;4;0;0.47;04/01/2024
2024;1;4;1;0.37;04/01/2024
2024;1;4;2;0.24;04/01/2024
2024;1;4;3;0.2;04/01/2024
2024;1;4;4;0.3;04/01/2024
2024;1;4;5;0.77;04/01/2024
2024;1;4;6;1.39;04/01/2024
2024;1;4;7;1.95;04/01/2024
2024;1;4;8;2.32;04/01/2024
2024;1;4;9;2.42;04/01/2024
2024;1;4;10;2.32;04/01/2024
2024;1;4;11;1.98;04/01/2024
2024;1;4;12;1.87;04/01/2024
2024;1;4;13;2.38;04/01/2024
2024;1;4;14;2.97;04/01/2024
2024;1;4;15;3.34;04/01/2024
2024;1;4;16;3.49;04/01/2024
2024;1;4;17;3.46;04/01/2024
2024;1;4;18;3.48;04/01/2024
2024;1;4;19;3.26;04/01/2024
2024;1;4;20;3.04;04/01/2024
2024;1;4;21;2.92;04/01/2024
